Marca%20temporal,Pais%20,Edad,G%C3%A9nero,%C2%BFCon%20qu%C3%A9%20frecuencia%20realiza%20compras%20en%20Amazon%3F,%C2%BFQu%C3%A9%20categor%C3%ADas%20de%20productos%20suele%20comprar%20en%20Amazon%3F,%C2%BFAlguna%20vez%20realiz%C3%B3%20una%20compra%20en%20funci%C3%B3n%20de%20las%20recomendaciones%20de%20productos%20personalizadas%20de%20Amazon%3F,%C2%BFCon%20qu%C3%A9%20frecuencia%20navega%20por%20el%20sitio%20web%20o%20la%20aplicaci%C3%B3n%20de%20Amazon%3F,%C2%BFC%C3%B3mo%20busca%20productos%20en%20Amazon%3F,%C2%BFCon%20qu%C3%A9%20frecuencia%20realizas%20compras%20en%20Amazon%3F%20%20,%C2%BFEncuentras%20informaci%C3%B3n%20%C3%BAtil%20en%20las%20rese%C3%B1as%20de%20otros%20clientes%3F%20%20,%C2%BFCon%20qu%C3%A9%20frecuencia%20recibes%20recomendaciones%20personalizadas%20de%20productos%20en%20Amazon%3F%20,%20%C2%BFEncuentras%20%C3%BAtiles%20las%20recomendaciones%3F%20%20,%C2%BFC%C3%B3mo%20calificar%C3%ADas%20la%20relevancia%20y%20precisi%C3%B3n%20de%20las%20recomendaciones%20que%20recibes%3F%20%20,Al%20navegar%20tiendes%20a%20explorar%20m%C3%BAltiples%20p%C3%A1ginas%20o%20enfocarte%20en%20la%20primera%20pagina%3F,Que%20tan%20importante%20son%20las%20rese%C3%B1as%20de%20producto%20para%20que%20tomes%20una%20decisi%C3%B3n%3F,Agregas%20productos%20al%20carrito%20mientras%20estas%20navegando%20en%20amazon%3F,Con%20que%20frecuencia%20completas%20la%20compra%20despues%20de%20agregar%20productos%20al%20carrito%3F,Que%20factores%20influencian%20en%20tu%20decisi%C3%B3n%20la%20compra%20en%20tu%20carrito%3F,%22%C2%BFUtilizas%20la%20funci%C3%B3n%20%22%22Guardar%20para%20m%C3%A1s%20tarde%22%22%3F%20Si%20es%20as%C3%AD%2C%20%C2%BFcon%20qu%C3%A9%20frecuencia%20la%20usas%3F%22,Has%20dejado%20rese%C3%B1a%20de%20un%20producto%20en%20amazon%3F,%C2%BFQu%C3%A9%20aspectos%20de%20los%20servicios%20de%20Amazon%20aprecias%20m%C3%A1s%3F%20%20,%C2%BFHay%20alg%C3%BAn%20%C3%A1rea%20en%20la%20que%20creas%20que%20Amazon%20podr%C3%ADa%20mejorar%3F%20%20
Mon Feb 24 2025 08:04:54 GMT-0500 (Peru Standard Time),Argentina,29,Femenino,Menos%20de%20una%20vez%20al%20mes,Beauty%20and%20Personal%20Care,No,Casi%20nunca,Filtrar,Nunca,Tal%20vez,1,No,2,Multiples%20p%C3%A1ginas,2,Tal%20vez,Raramente,Altos%20costos%20de%20envio,A%20menudo,No,Amplia%20selecci%C3%B3n%20de%20productos,Capacidad%20de%20respuesta%20del%20servicio%20al%20cliente
Mon Feb 24 2025 09:07:21 GMT-0500 (Peru Standard Time),Peru,38,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,S%C3%AD,Unas%20cuantas%20veces%20al%20mes,Palabra%20clave,Casi%20nunca,S%C3%AD,3,S%C3%AD%20mucho,4,Multiples%20p%C3%A1ginas,4,Si,A%20menudo,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,A%20menudo,No,Amplia%20selecci%C3%B3n%20de%20productos,Envio
Mon Feb 24 2025 09:09:08 GMT-0500 (Peru Standard Time),Argentina,33,Femenino,Menos%20de%20una%20vez%20al%20mes,Beauty%20and%20Personal%20Care,Tal%20vez,Casi%20nunca,Filtrar,Casi%20nunca,S%C3%AD,1,Tal%20vez,4,Multiples%20p%C3%A1ginas,5,Si,Algunas%20veces,Altos%20costos%20de%20envio,Algunas%20veces,No,Amplia%20selecci%C3%B3n%20de%20productos,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Mon Feb 24 2025 09:17:14 GMT-0500 (Peru Standard Time),Paraguay,47,Masculino,Una%20vez%20al%20mes,Otros,No,Casi%20nunca,otros,Nunca,No,1,No,1,Primera%20p%C3%A1gina,1,No,Nunca,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Nunca,No,Recomendaciones%20de%20productos,No%20me%20gusta
Mon Feb 24 2025 09:24:48 GMT-0500 (Peru Standard Time),Argentina,50,Femenino,Menos%20de%20una%20vez%20al%20mes,Otros,Tal%20vez,Casi%20nunca,Palabra%20clave,Nunca,Tal%20vez,3,Tal%20vez,3,Multiples%20p%C3%A1ginas,4,No,Nunca,No%20soy%20consumistas.%20No%20uso%20tarjetas%20de%20cr%C3%A9dito%20y%20no%20realizo%20casi%20compras%20por%20web,Nunca,No,Precios%20en%20relaci%C3%B3n%20calidad%20precio,Menos%20desperdicio%20de%20embalaje
Mon Feb 24 2025 09:27:55 GMT-0500 (Peru Standard Time),Peru,34,Masculino,Menos%20de%20una%20vez%20al%20mes,Ropa%20y%20moda,No,Casi%20nunca,Categor%C3%ADas,Casi%20nunca,No,1,No,2,Multiples%20p%C3%A1ginas,2,No,Raramente,Altos%20costos%20de%20envio,Raramente,No,Precios%20en%20relaci%C3%B3n%20calidad%20precio,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Mon Feb 24 2025 09:30:50 GMT-0500 (Peru Standard Time),Colombia,24,Masculino,Menos%20de%20una%20vez%20al%20mes,Ropa%20y%20moda,Tal%20vez,Casi%20nunca,Categor%C3%ADas,Casi%20nunca,No,1,Tal%20vez,3,Multiples%20p%C3%A1ginas,3,Tal%20vez,Raramente,Altos%20costos%20de%20envio,A%20menudo,No,Precios%20en%20relaci%C3%B3n%20calidad%20precio,Calidad%20del%20producto%20en%20concreto
Mon Feb 24 2025 09:37:54 GMT-0500 (Peru Standard Time),Ecuador,23,Masculino,Menos%20de%20una%20vez%20al%20mes,%22Hogar%20y%20cocina%2C%20Otros%22,No,Unas%20cuantas%20veces%20al%20mes,Filtrar,Casi%20nunca,Tal%20vez,1,Tal%20vez,1,Multiples%20p%C3%A1ginas,5,Tal%20vez,A%20menudo,Altos%20costos%20de%20envio,A%20menudo,No,Amplia%20selecci%C3%B3n%20de%20productos,Calidad%20del%20producto%20en%20concreto
Mon Feb 24 2025 09:40:51 GMT-0500 (Peru Standard Time),Argentina,22,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Casi%20nunca,Palabra%20clave,Nunca,Tal%20vez,3,Tal%20vez,3,Primera%20p%C3%A1gina,3,No,Nunca,Altos%20costos%20de%20envio,Nunca,No,Interfaz%20f%C3%A1cil%20de%20usar%20en%20el%20sitio%20web%2Fapp,%22No%20conozco%20en%20que%20area%20podr%C3%ADa%20mejorar%2C%20tengo%20poco%20conocimiento%20de%20la%20app%22
Mon Feb 24 2025 10:32:58 GMT-0500 (Peru Standard Time),Chile,36,Femenino,Menos%20de%20una%20vez%20al%20mes,Otros,Tal%20vez,Unas%20cuantas%20veces%20al%20mes,Palabra%20clave,De%20vez%20en%20cuando,S%C3%AD,3,Tal%20vez,3,Multiples%20p%C3%A1ginas,3,No,A%20menudo,Cambio%20de%20opinion%20o%20ya%20no%20necesito%20el%20producto,A%20menudo,No,Amplia%20selecci%C3%B3n%20de%20productos,Capacidad%20de%20respuesta%20del%20servicio%20al%20cliente
Mon Feb 24 2025 11:01:50 GMT-0500 (Peru Standard Time),Peru,28,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Unas%20cuantas%20veces%20al%20mes,Palabra%20clave,De%20vez%20en%20cuando,S%C3%AD,2,S%C3%AD%20mucho,3,Multiples%20p%C3%A1ginas,5,Si,Nunca,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Nunca,No,Precios%20en%20relaci%C3%B3n%20calidad%20precio,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Mon Feb 24 2025 11:32:19 GMT-0500 (Peru Standard Time),Argentina,36,Femenino,Menos%20de%20una%20vez%20al%20mes,%22Hogar%20y%20cocina%2C%20Otros%22,Tal%20vez,Unas%20cuantas%20veces%20al%20mes,Categor%C3%ADas,Casi%20nunca,S%C3%AD,3,Tal%20vez,3,Primera%20p%C3%A1gina,4,Si,Algunas%20veces,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Raramente,No,Amplia%20selecci%C3%B3n%20de%20productos,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Mon Feb 24 2025 11:38:48 GMT-0500 (Peru Standard Time),Argentina,40,Femenino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Casi%20nunca,Palabra%20clave,Casi%20nunca,S%C3%AD,3,Tal%20vez,3,Multiples%20p%C3%A1ginas,3,Tal%20vez,Raramente,Cambio%20de%20opinion%20o%20ya%20no%20necesito%20el%20producto,Nunca,No,Amplia%20selecci%C3%B3n%20de%20productos,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Mon Feb 24 2025 11:39:55 GMT-0500 (Peru Standard Time),Argentina,41,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Casi%20nunca,Palabra%20clave,Casi%20nunca,Tal%20vez,1,Tal%20vez,3,Multiples%20p%C3%A1ginas,3,Si,Algunas%20veces,Comprar%20desde%20argentina%20tiene%20sus%20costos%20e%20impuestos%20adicionales.%20No%20siempre%20estan%20todos%20los%20productos%20disponibles.,Nunca,No,Amplia%20selecci%C3%B3n%20de%20productos,Menos%20desperdicio%20de%20embalaje
Mon Feb 24 2025 12:40:51 GMT-0500 (Peru Standard Time),Mexico,26,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Casi%20nunca,Categor%C3%ADas,Nunca,Tal%20vez,1,Tal%20vez,3,Primera%20p%C3%A1gina,3,Tal%20vez,Raramente,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Nunca,No,Interfaz%20f%C3%A1cil%20de%20usar%20en%20el%20sitio%20web%2Fapp,Capacidad%20de%20respuesta%20del%20servicio%20al%20cliente
Mon Feb 24 2025 12:51:18 GMT-0500 (Peru Standard Time),Colombia,35,Femenino,Menos%20de%20una%20vez%20al%20mes,Hogar%20y%20cocina,No,Casi%20nunca,Palabra%20clave,Nunca,Tal%20vez,1,Tal%20vez,3,Multiples%20p%C3%A1ginas,3,Si,Nunca,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Nunca,No,Interfaz%20f%C3%A1cil%20de%20usar%20en%20el%20sitio%20web%2Fapp,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Mon Feb 24 2025 13:01:14 GMT-0500 (Peru Standard Time),Argentina,36,Femenino,Unas%20cuantas%20veces%20al%20mes,%22Ropa%20y%20moda%2C%20Beauty%20and%20Personal%20Care%2C%20Hogar%20y%20cocina%22,S%C3%AD,Unas%20cuantas%20veces%20a%20la%20semana,Palabra%20clave,De%20vez%20en%20cuando,S%C3%AD,5,S%C3%AD%20mucho,5,Primera%20p%C3%A1gina,5,Si,Algunas%20veces,Altos%20costos%20de%20envio,Siempre,Si,Precios%20en%20relaci%C3%B3n%20calidad%20precio,Capacidad%20de%20respuesta%20del%20servicio%20al%20cliente
Mon Feb 24 2025 13:48:07 GMT-0500 (Peru Standard Time),Peru,45,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Unas%20cuantas%20veces%20a%20la%20semana,Categor%C3%ADas,Nunca,Tal%20vez,1,S%C3%AD%20mucho,3,Multiples%20p%C3%A1ginas,5,Tal%20vez,Algunas%20veces,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Algunas%20veces,No,Interfaz%20f%C3%A1cil%20de%20usar%20en%20el%20sitio%20web%2Fapp,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Mon Feb 24 2025 14:11:10 GMT-0500 (Peru Standard Time),Colombia,33,Femenino,Unas%20cuantas%20veces%20al%20mes,Otros,No,Unas%20cuantas%20veces%20a%20la%20semana,Categor%C3%ADas,De%20vez%20en%20cuando,Tal%20vez,1,No,3,Multiples%20p%C3%A1ginas,4,Tal%20vez,A%20menudo,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,A%20menudo,No,Amplia%20selecci%C3%B3n%20de%20productos,Calidad%20del%20producto%20en%20concreto
Mon Feb 24 2025 16:31:02 GMT-0500 (Peru Standard Time),Mexico,44,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Casi%20nunca,Palabra%20clave,Casi%20nunca,S%C3%AD,1,S%C3%AD%20mucho,4,Multiples%20p%C3%A1ginas,4,Si,Raramente,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Raramente,No,Amplia%20selecci%C3%B3n%20de%20productos,Diferentes%20provedores
Mon Feb 24 2025 21:49:02 GMT-0500 (Peru Standard Time),Peru,48,Masculino,Menos%20de%20una%20vez%20al%20mes,Hogar%20y%20cocina,No,Casi%20nunca,Filtrar,Casi%20nunca,S%C3%AD,1,Tal%20vez,3,Multiples%20p%C3%A1ginas,4,No,Algunas%20veces,Cambio%20de%20opinion%20o%20ya%20no%20necesito%20el%20producto,Nunca,No,Amplia%20selecci%C3%B3n%20de%20productos,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
Tue Feb 25 2025 06:53:08 GMT-0500 (Peru Standard Time),Brazil,38,Masculino,Menos%20de%20una%20vez%20al%20mes,Otros,No,Casi%20nunca,Palabra%20clave,Nunca,No,1,No,3,Multiples%20p%C3%A1ginas,5,No,Nunca,Encontre%20un%20mejor%20precio%20en%20otro%20lugar,Nunca,No,Interfaz%20f%C3%A1cil%20de%20usar%20en%20el%20sitio%20web%2Fapp,Velocidad%20y%20confiabilidad%20del%20env%C3%ADo
